company_name,pan
ASCO NUMATICS (INDIA) PRIVATE LIMITED - Asco Numatics India,33AAACA5198G1ZS
ASCOT HOTELS AND RESORTS PRIVATE LIMITED - Ascot Hotels,09AAACA9131H1ZS
ASHAPURA AGROCOMM PRIVATE LIMITED - Ashapura Agrocomm,07AALCA3210E1Z7
ASHAPURA PERFOCLAY LIMITED - Ashapura Perfoclay,27AAACA9472H3ZG
ASHOKA BUILDCON LIMITED - Ashoka Buildcon,03AABCA9292J1ZK
ASHOKA FOAM MULTI PLAST LIMITED - Ashoka Foam Multi Plast,09AAFCA7678C1ZH
ASHOKA HIGHWAYS (DURG) LIMITED - Ashoka Highways (Durg),22AAGCA2214H1ZC
ASHOKA HIGHWAYS (BHANDARA) LIMITED - Ashoka Highways Bhandara,27AAGCA2213A1ZH
ASIAN HOTELS (NORTH) LIMITED - Asian Hotels (North),27AAACA0125H1ZA
ARIA HOTELS AND CONSULTANCY SERVICES PRIVATE LIMITED - Asian Hotels - SPV,07AAGCA4627C1Z1
ASIAN PAINTS PPG PRIVATE LIMITED - Asian Paints PPG,02AAJCA7128D2Z3
ASIAVILLE INTERACTIVE PRIVATE LIMITED - Asiaville,33AAQCA2781B1ZV
ASK AUTOMOTIVE PRIVATE LIMITED - Ask Automotive,02AAACA7205Q1ZS
ASM INDUSTRIES (INDIA) PRIVATE LIMITED - Asm Industries,27AAICA4697G1ZB
ASM TRAXIM PRIVATE LIMITED - Asm Traxim,07AAFCA2786H1ZK
ASOMI FINANCE PRIVATE LIMITED - Asomi Finance,18AADCA3747N1ZB
ASPEN LABORATORIES PRIVATE LIMITED - Aspen Laboratories,07AAECA9646B1ZS
ASPIRE SYSTEMS (INDIA) PRIVATE LIMITED - ASPIRE,33AACCA4543M1ZQ
ASPRI SPIRITS PRIVATE LIMITED - ASPRI,07AAECA8483E1ZL
ASSAM GAS COMPANY LTD - Assam Gas Co,18AABCA6977C1ZM
ASSOCIATED ALCOHOLS & BREWERIES LTD. - Associated Alcohols & Breweries,23AAECA2674B1Z8
AST TELECOM SOLAR PRIVATE LIMITED - AST,09AALCA3551E1ZR
ASTERIA AEROSPACE PRIVATE LIMITED - ASTERIA,29AAJCA8708R1ZR
ASTRAL POLY TECHNIK LIMITED - Astral Poly,23AABCA2951N1ZQ
ASTROGATE LABS PRIVATE LIMITED - Astrogate Labs,29AAQCA0396J1Z4
ASTROME TECHNOLOGIES PRIVATE LIMITED - ASTROME TECHNOLOGIES,29AANCA4897P1ZH
ASTRON PACKAGING LIMITED - Astron Packaging,24AAECA0093L1ZS
ATIBIR INDUSTRIES COMPANY LIMITED - Atibir,19AADCA1825B1Z7
ATLANTIC LUBRICANTS AND SPECIALITIES PRIVATE LIMITED - Atlantic Lubricants & Specialities,08AAECA0002D1ZM
ATLAS COPCO (INDIA) LIMITED - Atlas Copco India,34AAACA4074D1Z7
ATOMBERG TECHNOLOGIES PRIVATE LIMITED - ATOMBERG TECHNOLOGIES,07AAKCA4836H1ZK
NUTRINE CONFECTIONERY COMPANY PRIVATE LIMITED - Nutrine Confectionery,37AAACN4838N1ZZ
AAVAS FINANCIERS LIMITED - Au Housing Finance,27AAJCA2237M2ZG
AUMA INDIA PRIVATE LIMITED - Auma,29AABCA1342F1Z4
AURA SEMICONDUCTOR PRIVATE LIMITED - Aura Semiconductor,29AAICA7499N1ZM
AURANGABAD ELECTRICALS LIMITED - Aurangabad Electricals,27AACCA2867L2ZD
AUREUS ANALYTICS PRIVATE LIMITED - Aureus Analytics,27AALCA5519N2Z5
AURIGENE DISCOVERY TECHNOLOGIES LIMITED - Aurigene,36AADCA2387A1Z2
AURIONPRO SOLUTIONS LIMITED - Aurionpro,23AAACV7297H1Z2
AUTHBRIDGE RESEARCH SERVICES PRIVATE LIMITED - AuthBridge,06AAFCA3384H1ZQ
AUTOLIV INDIA PRIVATE LIMITED - Autoliv,07AADCA6222E1Z5
AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED - Automotive Manufacturers,29AAACA3428K1ZN
AUTOMOTIVE STAMPINGS & ASSEMBLIES LIMITED - Automotive Stampings & Assemblies,27AAACJ2116M1ZN
AUTOVERT TECHNOLOGIES PRIVATE LIMITED - Autovert Technologies,29AAPCA4301A1Z3
AVA SKIN CARE PRIVATE LIMITED - AVA Skin Care,29AALCA7345Q1ZS
AVAADA ENERGY PRIVATE LIMITED - Avaada Energy,10AACCE0525D1ZN
AVANA LOGISTEK LIMITED - Avana Logistek,21AAFCS1591Q1Z0
AVANTI MICROFINANCE PRIVATE LIMITED - Avanti Microfinance,27AAOCA8235G1ZF
AVANTIS REGTECH PRIVATE LIMITED - Avantis,27AARCA4721E1ZP
AVG LOGISTICS LIMITED - AVG Logistics,27AAICA1669A1ZX
AVIOM INDIA HOUSING FINANCE PRIVATE LIMITED - AVIOM,07AAOCA1595P1ZX
AVIOTRON AUTOMATIONS LLP - Aviotron Automations,08ABHFA5969J1ZW
TECH DATA ADVANCED SOLUTIONS (INDIA) PRIVATE LIMITED - Avnet Technology Solutions,03AAACO3686M1Z7
AVON CYCLES LTD - AVON,20AABCA4140R1ZV
AVP HOSPITALITY PRIVATE LIMITED - AVP Hospitality,07AAJCA1940R1Z9
AVR SWARNAMAHAL JEWELRY PRIVATE LIMITED - Avr Swarnamahal Jewelry,29AAHCA9042L1Z8
AVT MCCORMICK INGREDIENTS PRIVATE LIMITED - Avt Mccormick Ingredients,24AAACA3217E1ZF
AVYAN TECHSERVE PRIVATE LIMITED - AVYAN TECHSERVE,29AAPCA0167J2ZB
AWARD OFFSET PRINTERS AND PACKAGING PRIVATE LIMITED - Award,27AAACA5672M2ZC
AWIGN ENTERPRISES PRIVATE LIMITED - AWIGN,09AAOCA5799B1Z8
AXALTA COATING SYSTEMS INDIA PRIVATE LIMITED - Axalta Coating Systems,24AAECD2713N1ZQ
AXTRIA INDIA PRIVATE LIMITED - Axtria,09AAICA5862D1ZM
AYANA RENEWABLE POWER PRIVATE LIMITED - Ayana Renewable Power,08AARCA8875B1Z8
AZAFRAN INNOVACION LIMITED - Azafran Innovacion,07AAGCA4452K1ZL
AZURE HOSPITALITY PRIVATE LIMITED - Azure Hospitality,36AAGCA9135K1ZE
B.BRAUN MEDICAL (INDIA) PRIVATE LIMITED - B Braun Medical (India),33AAACB7394M1ZC
BACARDI INDIA PRIVATE LIMITED - Bacardi,21AAACB3944R1ZJ
BACKPACKER PANDA HOLIDAYS PRIVATE LIMITED - BACKPACKER PANDA,27AAGCB3583Q1Z0
BAFNA PHARMACEUTICALS LIMITED - Bafna Pharmaceuticals Ltd.,27AAACB3109Q1ZK
BAGHIRATHI TRAVEL SOLUTIONS PRIVATE LIMITED - BAGHIRATHI,29AACCB8387L1ZY
BAIN & COMPANY INDIA PRIVATE LIMITED - Bain & Company,27AACCB8671R2ZU
BAJAAO MUSIC PRIVATE LIMITED - Bajaao,27AAECB5401B1ZC
BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED - Bajaj Allianz General Insurance,37AABCB5730G1ZW
BAJAJ CAPITAL LIMITED - Bajaj Capital,27AAACA3565F1ZW
BAJAJ FINANCE LIMITED - Bajaj Finance,17AABCB1518L2ZS
BAJAJ MOTORS LIMITED - Bajaj Motors,05AAACB7413P1ZL
BAKERS CIRCLE (INDIA) PVT LTD - Bakers Circle India,06AABCB7681G1ZN
BALAJI CELLPHONE PRIVATE LIMITED - Balaji Cellphone,20AAFCB3757K1ZR
BALAJI TELEFILMS LIMITED - Balaji Telefilms,27AAACB4376M1ZD
BALAJI WAFERS PRIVATE LIMITED - Balaji Wafers,23AAACB8755A1Z3
BALMUKUND CONCAST PRIVATE LIMITED - Balmukund Concast,10AAACB9503G1ZA
BALMUKUND SPONGE AND IRON PRIVATE LIMITED - Balmukund Sponge And Iron,10AACCM4451E2Z3
URMIN FOODS PRIVATE LIMITED - URMIN FOODS,24AABCU2405P1ZB
BANDHAN FINANCIAL SERVICES LIMITED - Bandhan,19AABCG0611R2ZF
BANDHAN BANK LIMITED - BANDHAN,02AAGCB1323G3ZD
THE BANK OF MAHARASHTRA LIMITED - Bank Of Maharashtra,24AAAAP2400Q1ZO
BANSAL ALLOYS AND METALS PRIVATE LIMITED - Bansal Alloys & Metals,03AAACB7472L1ZM
BARBEQUE-NATION HOSPITALITY LIMITED - Barbeque Nation,21AAKCS3053N1Z8
