,CompanyName,CIN_Number,gst
0,SESHACHAL TECHNOLOGIES LIMITED   ,L72200AP1994PLC063259,36AADCS4403R2ZZ
1,DILIGENT INDUSTRIES LIMITED   ,L15490AP1995PLC088116,37AAACY0495Q1ZL
2,SREE SANNIDHI FOODS PRIVATE LIMITED   ,U15132AP2010PTC096656,37AAOCS7104G1Z6
3,CHANDRA CFS AND TERMINAL OPERATORS PRIVATE LIMITED - CHANDRA CFS AND TERMINAL OPERATORS,U63011AP2005PTC046936,33AACCC6644B1Z5
4,SRI RAMADAS MOTOR TRANSPORT LTD. - Sri Ramadas Motor Transport,U60231AP1944PLC000223,37AADCS1196B1ZJ
5,NAGARJUNA OIL REFINERY LIMITED   ,L23200AP2010PLC071242,36AADCN4472H1ZD
6,ANDHRA PETROCHEMICALS LIMITED - Andhra Petrochemicals Ltd.,L23209AP1984PLC004635,37AAACT6358B1ZF
7,ALUFLUORIDE LTD   ,L24110AP1984PLC005096,37AABCA4793Q1ZZ
8,INTERNATIONAL PAPER APPM LIMITED - International Paper APPM,L21010AP1964PLC001008,27AAACT8849D1Z4
9,THE ANDHRA SUGARS LIMITED   ,L15420AP1947PLC000326,37AAACT6357Q1ZL
10,NMDC LIMITED   ,L13100AP1958GOI001674,29AAACN7325A1ZR
11,RAVILEELA GRANITES LIMITED   ,L14102AP1990PLC011909,36AABCR0721R1Z6
12,YANTRA NATURAL RESOURCES LIMITED   ,L14297AP1988PLC074808,36AACCS4221Q1Z3
13,CCL PRODUCTS (INDIA) LIMITED - CCL Products,L15110AP1961PLC000874,37AAACC9552G2ZJ
14,BALAJI AGRO OILS LIMITED   ,L15143AP1994PLC017454,37AACCB9632L1ZB
15,BAYPARK HOTEL & RESORTS PRIVATE LIMITED   ,U55100AP1998PTC029729,37AABCI2444N1ZD
16,KANDHARI HOTELS PVT LTD. - KANDHARI HOTELS,U55101AP1977PTC002163,37AAACK9355R1ZO
17,THE WATERBASE LIMITED   ,L05005AP1987PLC018436,33AABCT0601L1ZR
18,VSF PROJECTS LIMITED   ,L05005AP1992PLC014326,36AAACV7255P2ZN
19,BKV INDUSTRIES LIMITED   ,L05005AP1993PLC015304,37AACCB3364P1ZA
20,ROOPA INDUSTRIES LIMITED   ,L10100AP1985PLC005582,36AAACR9573J1ZV
21,SHARAT INDUSTRIES LIMITED   ,L05005AP1990PLC011276,37AACCS8215J1Z5
22,CHEMCEL BIO-TECH LIMITED   ,L24120AP1995PLC021888,37AAACC8998C1ZC
23,KALLAM TEXTILES LIMITED - Kallam Textiles,L18100AP1992PLC013860,36AAACK9363M1Z0
24,AVANTI LEATHERS LIMITED   ,L18209AP1976PLC002007,37AACCA0723F1Z7
25,CHANDRA SHIP MANAGEMENT PRIVATE LIMITED   ,U50400AP2001PTC036819,27AABCC5649K1ZD
26,TOYOTSU RARE EARTHS INDIA PRIVATE LIMITED - Toyotsu Rare Earths,U51420AP2009FTC082696,37AADCT2962Q2ZM
27,RADIX INDUSTRIES (INDIA) LIMITED   ,L37200AP1993PLC016785,37AABCR1331B1Z1
28,BGR ENERGY SYSTEMS LIMITED - BGR Energy,L40106AP1985PLC005318,24AABCG2202J1Z6
29,MANJEERA CONSTRUCTIONS LTD   ,L45200AP1987PLC007228,36AABCM4763G1ZG
30,SARITA SYNTHETICS AND INDUSTRIES LIMITED   ,L17116AP1993PLC016428,37AADCS4025R1ZW
